bowling-machine: 72 frames, 0 flagged
bully: 60 frames, 0 flagged
class-clown: 63 frames, 0 flagged
eshay: 60 frames, 0 flagged
footy-kid: 72 frames, 0 flagged
gym-coach-rtspixel: 90 frames, 1 flagged
math-teacher-rtspixel: 89 frames, 26 flagged
maths-teacher: 72 frames, 0 flagged
mean-girl: 62 frames, 0 flagged
pe-teacher: 60 frames, 0 flagged
science-teacher: 72 frames, 0 flagged
sub-teacher-rtspixel: 74 frames, 16 flagged
substitute-teacher: 72 frames, 0 flagged
teacher-aide: 48 frames, 0 flagged
teacher-aide-rtspixel: 167 frames, 0 flagged
tuckshop-lady: 72 frames, 0 flagged
year-7: 98 frames, 0 flagged
year-7-rat-king: 72 frames, 0 flagged
